conversion_id,click_id,affiliate_id,merchant_id,campaign_id,customer_id,product_id,session_id,converted_at,order_id,quantity,order_value,commission_rate,commission_earned,order_status,return_status
CONV_SYN_00001860,CLK_SYN_00007467,AFF018,MER0045,CAMP0017,CUST004904,B09PQR901,SES00490402,2024-01-02 02:11:39,ORD_SYN_00001860,1,349.99,0.02,7.0,Delivered,Not Returned
CONV_SYN_00001599,CLK_SYN_00006546,AFF006,MER0047,CAMP0016,CUST004521,B08QRST678,SES00452101,2024-01-02 06:29:52,ORD_SYN_00001599,1,199.99,0.02,4.0,Delivered,Not Returned
CONV_SYN_00000863,CLK_SYN_00006400,AFF020,MER0048,CAMP0017,CUST004232,B07HGJKL12,SES00423201,2024-01-02 08:22:20,ORD_SYN_00000863,1,249.0,0.02,4.98,Delivered,Returned
CONV_SYN_00000379,CLK_SYN_00005488,AFF009,MER0093,CAMP0029,CUST004741,B08STU901,SES00474101,2024-01-02 09:30:18,ORD_SYN_00000379,1,379.99,0.025,9.5,Delivered,Not Returned
CONV_SYN_00001635,CLK_SYN_00003206,AFF003,MER0071,CAMP0038,CUST004030,B09HIJ012,SES00403002,2024-01-02 11:01:44,ORD_SYN_00001635,2,279.98,0.04,11.2,Delivered,Returned
CONV_SYN_00001696,CLK_SYN_00006546,AFF006,MER0047,CAMP0016,CUST004521,B08QRST678,SES00452101,2024-01-02 23:30:28,ORD_SYN_00001696,1,199.99,0.02,4.0,Delivered,Returned
CONV_SYN_00000657,CLK_SYN_00002168,AFF004,MER0022,CAMP0006,CUST004959,B07DEF123,SES00495902,2024-01-03 06:40:46,ORD_SYN_00000657,2,199.98,0.03,6.0,Delivered,Not Returned
CONV_SYN_00001174,CLK_SYN_00007747,AFF008,MER0010,CAMP0020,CUST003808,B08EFG123,SES00380801,2024-01-03 21:46:33,ORD_SYN_00001174,1,79.99,0.03,2.4,Delivered,Not Returned
CONV_SYN_00001918,CLK_SYN_00002168,AFF004,MER0022,CAMP0006,CUST004959,B07DEF123,SES00495902,2024-01-03 23:56:58,ORD_SYN_00001918,1,99.99,0.03,3.0,Delivered,Returned
CONV_SYN_00000891,CLK_SYN_00002168,AFF004,MER0022,CAMP0006,CUST004959,B07DEF123,SES00495902,2024-01-04 00:59:58,ORD_SYN_00000891,1,99.99,0.03,3.0,Delivered,Not Returned
CONV_SYN_00001702,CLK_SYN_00005374,AFF007,MER0034,CAMP0037,CUST000853,B09VWX234,SES00085303,2024-01-04 05:57:47,ORD_SYN_00001702,1,599.0,0.02,11.98,Delivered,Not Returned
CONV_SYN_00001237,CLK_SYN_00004339,AFF018,MER0022,CAMP0031,CUST001993,B08JKL456,SES00199301,2024-01-04 12:53:50,ORD_SYN_00001237,1,99.99,0.04,4.0,Delivered,Not Returned
CONV_SYN_00001511,CLK_SYN_00003313,AFF018,MER0084,CAMP0002,CUST001303,B09DEF123,SES00130301,2024-01-04 17:04:34,ORD_SYN_00001511,1,1199.0,0.015,17.98,Delivered,Not Returned
CONV_SYN_00001969,CLK_SYN_00004493,AFF014,MER0068,CAMP0031,CUST004887,B07GHI456,SES00488702,2024-01-04 17:29:24,ORD_SYN_00001969,1,149.99,0.035,5.25,Cancelled,Not Returned
CONV_SYN_00000931,CLK_SYN_00007772,AFF020,MER0010,CAMP0041,CUST004695,B07MNO345,SES00469502,2024-01-04 23:03:13,ORD_SYN_00000931,1,59.99,0.04,2.4,Delivered,Not Returned
CONV_SYN_00001610,CLK_SYN_00007341,AFF007,MER0087,CAMP0024,CUST000886,B07DEF123,SES00088602,2024-01-05 12:13:14,ORD_SYN_00001610,1,99.99,0.03,3.0,Cancelled,Not Returned
