customer_id,country
CUST000001,CA
CUST000002,UK
CUST000003,AU
CUST000004,IN
CUST000005,US
CUST000006,CA
CUST000007,UK
CUST000008,AU
CUST000009,IN
CUST000010,US
CUST000011,CA
CUST000012,UK
CUST000013,AU
CUST000014,IN
CUST000015,US
CUST000016,CA
CUST000017,UK
CUST000018,AU
CUST000019,IN
CUST000020,US
CUST000021,CA
CUST000022,UK
CUST000023,AU
CUST000024,IN
CUST000025,US
CUST000026,CA
CUST000027,UK
CUST000028,AU
CUST000029,IN
CUST000030,US
CUST000031,CA
CUST000032,UK
CUST000033,AU
CUST000034,IN
CUST000035,US
CUST000036,CA
CUST000037,UK
CUST000038,AU
CUST000039,IN
CUST000040,US
CUST000041,CA
CUST000042,UK
CUST000043,AU
CUST000044,IN
CUST000045,US
CUST000046,CA
CUST000047,UK
CUST000048,AU
CUST000049,IN
CUST000050,US
CUST000051,CA
CUST000052,UK
CUST000053,AU
CUST000054,IN
CUST000055,US
CUST000056,CA
CUST000057,UK
CUST000058,AU
CUST000059,IN
CUST000060,US
CUST000061,CA
CUST000062,UK
CUST000063,AU
CUST000064,IN
CUST000065,US
CUST000066,CA
CUST000067,UK
CUST000068,AU
CUST000069,IN
CUST000070,US
CUST000071,CA
CUST000072,UK
CUST000073,AU
CUST000074,IN
CUST000075,US
CUST000076,CA
CUST000077,UK
CUST000078,AU
CUST000079,IN
CUST000080,US
CUST000081,CA
CUST000082,UK
CUST000083,AU
CUST000084,IN
CUST000085,US
CUST000086,CA
CUST000087,UK
CUST000088,AU
CUST000089,IN
CUST000090,US
CUST000091,CA
CUST000092,UK
CUST000093,AU
CUST000094,IN
CUST000095,US
CUST000096,CA
CUST000097,UK
CUST000098,AU
CUST000099,IN
CUST000100,US
CUST000101,CA
CUST000102,UK
CUST000103,AU
CUST000104,IN
CUST000105,US
CUST000106,CA
CUST000107,UK
CUST000108,AU
CUST000109,IN
CUST000110,US
CUST000111,CA
CUST000112,UK
CUST000113,AU
CUST000114,IN
CUST000115,US
CUST000116,CA
CUST000117,UK
CUST000118,AU
CUST000119,IN
CUST000120,US
CUST000121,CA
CUST000122,UK
CUST000123,AU
CUST000124,IN
CUST000125,US
CUST000126,CA
CUST000127,UK
CUST000128,AU
CUST000129,IN
CUST000130,US
CUST000131,CA
CUST000132,UK
CUST000133,AU
CUST000134,IN
CUST000135,US
CUST000136,CA
CUST000137,UK
CUST000138,AU
CUST000139,IN
CUST000140,US
CUST000141,CA
CUST000142,UK
CUST000143,AU
CUST000144,IN
CUST000145,US
CUST000146,CA
CUST000147,UK
CUST000148,AU
CUST000149,IN
CUST000150,US
CUST000151,CA
CUST000152,UK
CUST000153,AU
CUST000154,IN
CUST000155,US
CUST000156,CA
CUST000157,UK
CUST000158,AU
CUST000159,IN
CUST000160,US
CUST000161,CA
CUST000162,UK
CUST000163,AU
CUST000164,IN
CUST000165,US
CUST000166,CA
CUST000167,UK
CUST000168,AU
CUST000169,IN
CUST000170,US
CUST000171,CA
CUST000172,UK
CUST000173,AU
CUST000174,IN
CUST000175,US
CUST000176,CA
CUST000177,UK
CUST000178,AU
CUST000179,IN
CUST000180,US
CUST000181,CA
CUST000182,UK
CUST000183,AU
CUST000184,IN
CUST000185,US
CUST000186,CA
CUST000187,UK
CUST000188,AU
CUST000189,IN
CUST000190,US
CUST000191,CA
CUST000192,UK
CUST000193,AU
CUST000194,IN
CUST000195,US
CUST000196,CA
CUST000197,UK
CUST000198,AU
CUST000199,IN
CUST000200,US
CUST000201,CA
CUST000202,UK
CUST000203,AU
CUST000204,IN
CUST000205,US
CUST000206,CA
CUST000207,UK
CUST000208,AU
CUST000209,IN
CUST000210,US
CUST000211,CA
CUST000212,UK
CUST000213,AU
CUST000214,IN
CUST000215,US
CUST000216,CA
CUST000217,UK
CUST000218,AU
CUST000219,IN
CUST000220,US
CUST000221,CA
CUST000222,UK
CUST000223,AU
CUST000224,IN
CUST000225,US
CUST000226,CA
CUST000227,UK
CUST000228,AU
CUST000229,IN
CUST000230,US
CUST000231,CA
CUST000232,UK
CUST000233,AU
CUST000234,IN
CUST000235,US
CUST000236,CA
CUST000237,UK
CUST000238,AU
CUST000239,IN
CUST000240,US
CUST000241,CA
CUST000242,UK
CUST000243,AU
CUST000244,IN
CUST000245,US
CUST000246,CA
CUST000247,UK
CUST000248,AU
CUST000249,IN
CUST000250,US
CUST000251,CA
CUST000252,UK
CUST000253,AU
CUST000254,IN
CUST000255,US
CUST000256,CA
CUST000257,UK
CUST000258,AU
CUST000259,IN
CUST000260,US
CUST000261,CA
CUST000262,UK
CUST000263,AU
CUST000264,IN
CUST000265,US
CUST000266,CA
CUST000267,UK
CUST000268,AU
CUST000269,IN
CUST000270,US
CUST000271,CA
CUST000272,UK
CUST000273,AU
CUST000274,IN
CUST000275,US
CUST000276,CA
CUST000277,UK
CUST000278,AU
CUST000279,IN
CUST000280,US
CUST000281,CA
CUST000282,UK
CUST000283,AU
CUST000284,IN
CUST000285,US
CUST000286,CA
CUST000287,UK
CUST000288,AU
CUST000289,IN
CUST000290,US
CUST000291,CA
CUST000292,UK
CUST000293,AU
CUST000294,IN
CUST000295,US
CUST000296,CA
CUST000297,UK
CUST000298,AU
CUST000299,IN
CUST000300,US
CUST000301,CA
CUST000302,UK
CUST000303,AU
CUST000304,IN
CUST000305,US
CUST000306,CA
CUST000307,UK
CUST000308,AU
CUST000309,IN
CUST000310,US
CUST000311,CA
CUST000312,UK
CUST000313,AU
CUST000314,IN
CUST000315,US
CUST000316,CA
CUST000317,UK
CUST000318,AU
CUST000319,IN
CUST000320,US
CUST000321,CA
CUST000322,UK
CUST000323,AU
CUST000324,IN
CUST000325,US
CUST000326,CA
CUST000327,UK
CUST000328,AU
CUST000329,IN
CUST000330,US
CUST000331,CA
CUST000332,UK
CUST000333,AU
CUST000334,IN
CUST000335,US
CUST000336,CA
CUST000337,UK
CUST000338,AU
CUST000339,IN
CUST000340,US
CUST000341,CA
CUST000342,UK
CUST000343,AU
CUST000344,IN
CUST000345,US
CUST000346,CA
CUST000347,UK
CUST000348,AU
CUST000349,IN
CUST000350,US
CUST000351,CA
CUST000352,UK
CUST000353,AU
CUST000354,IN
CUST000355,US
CUST000356,CA
CUST000357,UK
CUST000358,AU
CUST000359,IN
CUST000360,US
CUST000361,CA
CUST000362,UK
CUST000363,AU
CUST000364,IN
CUST000365,US
CUST000366,CA
CUST000367,UK
CUST000368,AU
CUST000369,IN
CUST000370,US
CUST000371,CA
CUST000372,UK
CUST000373,AU
CUST000374,IN
CUST000375,US
CUST000376,CA
CUST000377,UK
CUST000378,AU
CUST000379,IN
CUST000380,US
CUST000381,CA
CUST000382,UK
CUST000383,AU
CUST000384,IN
CUST000385,US
CUST000386,CA
CUST000387,UK
CUST000388,AU
CUST000389,IN
CUST000390,US
CUST000391,CA
CUST000392,UK
CUST000393,AU
CUST000394,IN
CUST000395,US
CUST000396,CA
CUST000397,UK
CUST000398,AU
CUST000399,IN
CUST000400,US
CUST000401,CA
CUST000402,UK
CUST000403,AU
CUST000404,IN
CUST000405,US
CUST000406,CA
CUST000407,UK
CUST000408,AU
CUST000409,IN
CUST000410,US
CUST000411,CA
CUST000412,UK
CUST000413,AU
CUST000414,IN
CUST000415,US
CUST000416,CA
CUST000417,UK
CUST000418,AU
CUST000419,IN
CUST000420,US
CUST000421,CA
CUST000422,UK
CUST000423,AU
CUST000424,IN
CUST000425,US
CUST000426,CA
CUST000427,UK
CUST000428,AU
CUST000429,IN
CUST000430,US
CUST000431,CA
CUST000432,UK
CUST000433,AU
CUST000434,IN
CUST000435,US
CUST000436,CA
CUST000437,UK
CUST000438,AU
CUST000439,IN
CUST000440,US
CUST000441,CA
CUST000442,UK
CUST000443,AU
CUST000444,IN
CUST000445,US
CUST000446,CA
CUST000447,UK
CUST000448,AU
CUST000449,IN
CUST000450,US
CUST000451,CA
CUST000452,UK
CUST000453,AU
CUST000454,IN
CUST000455,US
CUST000456,CA
CUST000457,UK
CUST000458,AU
CUST000459,IN
CUST000460,US
CUST000461,CA
CUST000462,UK
CUST000463,AU
CUST000464,IN
CUST000465,US
CUST000466,CA
CUST000467,UK
CUST000468,AU
CUST000469,IN
CUST000470,US
CUST000471,CA
CUST000472,UK
CUST000473,AU
CUST000474,IN
CUST000475,US
CUST000476,CA
CUST000477,UK
CUST000478,AU
CUST000479,IN
CUST000480,US
CUST000481,CA
CUST000482,UK
CUST000483,AU
CUST000484,IN
CUST000485,US
CUST000486,CA
CUST000487,UK
CUST000488,AU
CUST000489,IN
CUST000490,US
CUST000491,CA
CUST000492,UK
CUST000493,AU
CUST000494,IN
CUST000495,US
CUST000496,CA
CUST000497,UK
CUST000498,AU
CUST000499,IN
CUST000500,US
CUST000501,CA
CUST000502,UK
CUST000503,AU
CUST000504,IN
CUST000505,US
CUST000506,CA
CUST000507,UK
CUST000508,AU
CUST000509,IN
CUST000510,US
CUST000511,CA
CUST000512,UK
CUST000513,AU
CUST000514,IN
CUST000515,US
CUST000516,CA
CUST000517,UK
CUST000518,AU
CUST000519,IN
CUST000520,US
CUST000521,CA
CUST000522,UK
CUST000523,AU
CUST000524,IN
CUST000525,US
CUST000526,CA
CUST000527,UK
CUST000528,AU
CUST000529,IN
CUST000530,US
CUST000531,CA
CUST000532,UK
CUST000533,AU
CUST000534,IN
CUST000535,US
CUST000536,CA
CUST000537,UK
CUST000538,AU
CUST000539,IN
CUST000540,US
CUST000541,CA
CUST000542,UK
CUST000543,AU
CUST000544,IN
CUST000545,US
CUST000546,CA
CUST000547,UK
CUST000548,AU
CUST000549,IN
CUST000550,US
CUST000551,CA
CUST000552,UK
CUST000553,AU
CUST000554,IN
CUST000555,US
CUST000556,CA
CUST000557,UK
CUST000558,AU
CUST000559,IN
CUST000560,US
CUST000561,CA
CUST000562,UK
CUST000563,AU
CUST000564,IN
CUST000565,US
CUST000566,CA
CUST000567,UK
CUST000568,AU
CUST000569,IN
CUST000570,US
CUST000571,CA
CUST000572,UK
CUST000573,AU
CUST000574,IN
CUST000575,US
CUST000576,CA
CUST000577,UK
CUST000578,AU
CUST000579,IN
CUST000580,US
CUST000581,CA
CUST000582,UK
CUST000583,AU
CUST000584,IN
CUST000585,US
CUST000586,CA
CUST000587,UK
CUST000588,AU
CUST000589,IN
CUST000590,US
CUST000591,CA
CUST000592,UK
CUST000593,AU
CUST000594,IN
CUST000595,US
CUST000596,CA
CUST000597,UK
CUST000598,AU
CUST000599,IN
CUST000600,US
CUST000601,CA
CUST000602,UK
CUST000603,AU
CUST000604,IN
CUST000605,US
CUST000606,CA
CUST000607,UK
CUST000608,AU
CUST000609,IN
CUST000610,US
CUST000611,CA
CUST000612,UK
CUST000613,AU
CUST000614,IN
CUST000615,US
CUST000616,CA
CUST000617,UK
CUST000618,AU
CUST000619,IN
CUST000620,US
CUST000621,CA
CUST000622,UK
CUST000623,AU
CUST000624,IN
CUST000625,US
CUST000626,CA
CUST000627,UK
CUST000628,AU
CUST000629,IN
CUST000630,US
CUST000631,CA
CUST000632,UK
CUST000633,AU
CUST000634,IN
CUST000635,US
CUST000636,CA
CUST000637,UK
CUST000638,AU
CUST000639,IN
CUST000640,US
CUST000641,CA
CUST000642,UK
CUST000643,AU
CUST000644,IN
CUST000645,US
CUST000646,CA
CUST000647,UK
CUST000648,AU
CUST000649,IN
CUST000650,US
CUST000651,CA
CUST000652,UK
CUST000653,AU
CUST000654,IN
CUST000655,US
CUST000656,CA
CUST000657,UK
CUST000658,AU
CUST000659,IN
CUST000660,US
CUST000661,CA
CUST000662,UK
CUST000663,AU
CUST000664,IN
CUST000665,US
CUST000666,CA
CUST000667,UK
CUST000668,AU
CUST000669,IN
CUST000670,US
CUST000671,CA
CUST000672,UK
CUST000673,AU
CUST000674,IN
CUST000675,US
CUST000676,CA
CUST000677,UK
CUST000678,AU
CUST000679,IN
CUST000680,US
CUST000681,CA
CUST000682,UK
CUST000683,AU
CUST000684,IN
CUST000685,US
CUST000686,CA
CUST000687,UK
CUST000688,AU
CUST000689,IN
CUST000690,US
CUST000691,CA
CUST000692,UK
CUST000693,AU
CUST000694,IN
CUST000695,US
CUST000696,CA
CUST000697,UK
CUST000698,AU
CUST000699,IN
CUST000700,US
CUST000701,CA
CUST000702,UK
CUST000703,AU
CUST000704,IN
CUST000705,US
CUST000706,CA
CUST000707,UK
CUST000708,AU
CUST000709,IN
CUST000710,US
CUST000711,CA
CUST000712,UK
CUST000713,AU
CUST000714,IN
CUST000715,US
CUST000716,CA
CUST000717,UK
CUST000718,AU
CUST000719,IN
CUST000720,US
CUST000721,CA
CUST000722,UK
CUST000723,AU
CUST000724,IN
CUST000725,US
CUST000726,CA
CUST000727,UK
CUST000728,AU
CUST000729,IN
CUST000730,US
CUST000731,CA
CUST000732,UK
CUST000733,AU
CUST000734,IN
CUST000735,US
CUST000736,CA
CUST000737,UK
CUST000738,AU
CUST000739,IN
CUST000740,US
CUST000741,CA
CUST000742,UK
CUST000743,AU
CUST000744,IN
CUST000745,US
CUST000746,CA
CUST000747,UK
CUST000748,AU
CUST000749,IN
CUST000750,US
CUST000751,CA
CUST000752,UK
CUST000753,AU
CUST000754,IN
CUST000755,US
CUST000756,CA
CUST000757,UK
CUST000758,AU
CUST000759,IN
CUST000760,US
CUST000761,CA
CUST000762,UK
CUST000763,AU
CUST000764,IN
CUST000765,US
CUST000766,CA
CUST000767,UK
CUST000768,AU
CUST000769,IN
CUST000770,US
CUST000771,CA
CUST000772,UK
CUST000773,AU
CUST000774,IN
CUST000775,US
CUST000776,CA
CUST000777,UK
CUST000778,AU
CUST000779,IN
CUST000780,US
CUST000781,CA
CUST000782,UK
CUST000783,AU
CUST000784,IN
CUST000785,US
CUST000786,CA
CUST000787,UK
CUST000788,AU
CUST000789,IN
CUST000790,US
CUST000791,CA
CUST000792,UK
CUST000793,AU
CUST000794,IN
CUST000795,US
CUST000796,CA
CUST000797,UK
CUST000798,AU
CUST000799,IN
CUST000800,US
CUST000801,CA
CUST000802,UK
CUST000803,AU
CUST000804,IN
CUST000805,US
CUST000806,CA
CUST000807,UK
CUST000808,AU
CUST000809,IN
CUST000810,US
CUST000811,CA
CUST000812,UK
CUST000813,AU
CUST000814,IN
CUST000815,US
CUST000816,CA
CUST000817,UK
CUST000818,AU
CUST000819,IN
CUST000820,US
CUST000821,CA
CUST000822,UK
CUST000823,AU
CUST000824,IN
CUST000825,US
CUST000826,CA
CUST000827,UK
CUST000828,AU
CUST000829,IN
CUST000830,US
CUST000831,CA
CUST000832,UK
CUST000833,AU
CUST000834,IN
CUST000835,US
CUST000836,CA
CUST000837,UK
CUST000838,AU
CUST000839,IN
CUST000840,US
CUST000841,CA
CUST000842,UK
CUST000843,AU
CUST000844,IN
CUST000845,US
CUST000846,CA
CUST000847,UK
CUST000848,AU
CUST000849,IN
CUST000850,US
CUST000851,CA
CUST000852,UK
CUST000853,AU
CUST000854,IN
CUST000855,US
CUST000856,CA
CUST000857,UK
CUST000858,AU
CUST000859,IN
CUST000860,US
CUST000861,CA
CUST000862,UK
CUST000863,AU
CUST000864,IN
CUST000865,US
CUST000866,CA
CUST000867,UK
CUST000868,AU
CUST000869,IN
CUST000870,US
CUST000871,CA
CUST000872,UK
CUST000873,AU
CUST000874,IN
CUST000875,US
CUST000876,CA
CUST000877,UK
CUST000878,AU
CUST000879,IN
CUST000880,US
CUST000881,CA
CUST000882,UK
CUST000883,AU
CUST000884,IN
CUST000885,US
CUST000886,CA
CUST000887,UK
CUST000888,AU
CUST000889,IN
CUST000890,US
CUST000891,CA
CUST000892,UK
CUST000893,AU
CUST000894,IN
CUST000895,US
CUST000896,CA
CUST000897,UK
CUST000898,AU
CUST000899,IN
CUST000900,US
CUST000901,CA
CUST000902,UK
CUST000903,AU
CUST000904,IN
CUST000905,US
CUST000906,CA
CUST000907,UK
CUST000908,AU
CUST000909,IN
CUST000910,US
CUST000911,CA
CUST000912,UK
CUST000913,AU
CUST000914,IN
CUST000915,US
CUST000916,CA
CUST000917,UK
CUST000918,AU
CUST000919,IN
CUST000920,US
CUST000921,CA
CUST000922,UK
CUST000923,AU
CUST000924,IN
CUST000925,US
CUST000926,CA
CUST000927,UK
CUST000928,AU
CUST000929,IN
CUST000930,US
CUST000931,CA
CUST000932,UK
CUST000933,AU
CUST000934,IN
CUST000935,US
CUST000936,CA
CUST000937,UK
CUST000938,AU
CUST000939,IN
CUST000940,US
CUST000941,CA
CUST000942,UK
CUST000943,AU
CUST000944,IN
CUST000945,US
CUST000946,CA
CUST000947,UK
CUST000948,AU
CUST000949,IN
CUST000950,US
CUST000951,CA
CUST000952,UK
CUST000953,AU
CUST000954,IN
CUST000955,US
CUST000956,CA
CUST000957,UK
CUST000958,AU
CUST000959,IN
CUST000960,US
CUST000961,CA
CUST000962,UK
CUST000963,AU
CUST000964,IN
CUST000965,US
CUST000966,CA
CUST000967,UK
CUST000968,AU
CUST000969,IN
CUST000970,US
CUST000971,CA
CUST000972,UK
CUST000973,AU
CUST000974,IN
CUST000975,US
CUST000976,CA
CUST000977,UK
CUST000978,AU
CUST000979,IN
CUST000980,US
CUST000981,CA
CUST000982,UK
CUST000983,AU
CUST000984,IN
CUST000985,US
CUST000986,CA
CUST000987,UK
CUST000988,AU
CUST000989,IN
CUST000990,US
CUST000991,CA
CUST000992,UK
CUST000993,AU
CUST000994,IN
CUST000995,US
CUST000996,CA
CUST000997,UK
CUST000998,AU
CUST000999,IN
CUST001000,US
CUST001001,CA
CUST001002,UK
CUST001003,AU
CUST001004,IN
CUST001005,US
CUST001006,CA
CUST001007,UK
CUST001008,AU
CUST001009,IN
CUST001010,US
CUST001011,CA
CUST001012,UK
CUST001013,AU
CUST001014,IN
CUST001015,US
CUST001016,CA
CUST001017,UK
CUST001018,AU
CUST001019,IN
CUST001020,US
CUST001021,CA
CUST001022,UK
CUST001023,AU
CUST001024,IN
CUST001025,US
CUST001026,CA
CUST001027,UK
CUST001028,AU
CUST001029,IN
CUST001030,US
CUST001031,CA
CUST001032,UK
CUST001033,AU
CUST001034,IN
CUST001035,US
CUST001036,CA
CUST001037,UK
CUST001038,AU
CUST001039,IN
CUST001040,US
CUST001041,CA
CUST001042,UK
CUST001043,AU
CUST001044,IN
CUST001045,US
CUST001046,CA
CUST001047,UK
CUST001048,AU
CUST001049,IN
CUST001050,US
CUST001051,CA
CUST001052,UK
CUST001053,AU
CUST001054,IN
CUST001055,US
CUST001056,CA
CUST001057,UK
CUST001058,AU
CUST001059,IN
CUST001060,US
CUST001061,CA
CUST001062,UK
CUST001063,AU
CUST001064,IN
CUST001065,US
CUST001066,CA
CUST001067,UK
CUST001068,AU
CUST001069,IN
CUST001070,US
CUST001071,CA
CUST001072,UK
CUST001073,AU
